"","event_id","date","camp","start_time","weather","air_temp_c","water_temp_c","do_mg.l","percent_sat","conductivity_muS.cm","total_dissolved_solids_mg.l","barometric_pressure_mmHg","site","turbidity_fnu","catchrate"
"1","U005S","7/21/19","upper","11:07","sunny",14.3,13.9,8.79,85.5,147.4,121.55,665.9,"2.1",18.1,1
"2","U006S","7/21/19","upper","15:48","sunny",22,15.2,9.22,91.6,150.4,120.25,664.6,"2.2",14.5333333333333,2
"3","U007","7/22/19","upper","11:36","sunny",16.4,14.3,9.04,88.4,145,118.3,664.5,"1.4",14.1666666666667,2
"4","U008","7/22/19","upper","13:30","partly cloudy",18.6,14.7,9.14,90.6,144.5,117,663.6,"1.3",13.0666666666667,5
"5","U009","7/22/19","upper","15:31","cloudy",19.1,15.2,8.86,88,149.3,119.6,663.4,"1.2",13.0333333333333,1
"6","U010","7/23/19","upper","11:01","partly cloudy",17.5,15.1,8.87,88.2,155.7,124.8,665.4,"3.4",19.3333333333333,2
"7","U011","7/23/19","upper","12:32","sunny",20.1,15.7,8.87,89.3,148.8,118.3,664.8,"3.3",12.6333333333333,2
"8","U012","7/23/19","upper","14:19","partly cloudy",21.1,15.7,9.03,91.1,147.3,116.35,663.9,"3.2",12.3333333333333,5
"9","U013","7/23/19","upper","15:54","sunny",25.3,16,9.15,92.5,147.7,115.7,663.6,"3.1",10.9666666666667,5
"10","U014","7/24/19","upper","16:02","rain",18.5,14.1,9.26,89.7,149.8,122.85,663.6,"1.3",10.5566666666667,9
"11","U015","7/24/19","upper","17:47","cloudy",16.5,14.3,9.18,89.7,150.6,122.85,663.2,"1.2",7.84,13
"12","U016","7/24/19","upper","19:02","rain",16.3,14.3,9.2,89.9,150.8,122.85,663.2,"1.1",7.58666666666667,14
"13","U017","7/25/19","upper","12:42","cloudy",19.2,14.1,9.79,89.5,158.1,118.25,661,"3.4",8.38,2
"14","U018","7/25/19","upper","14:25","partly cloudy",18,15.2,9.33,94.1,158.9,126.75,660,"3.3",6.6,1
"15","U019","7/25/19","upper","15:54","cloudy",19.2,15.2,9.22,91.4,156.9,125.45,660,"3.2",6.59333333333333,4
"16","U020","7/25/19","upper","17:26","rain",18.1,15.2,9.09,90.1,161.1,128.7,660.5,"3.1",5.88333333333333,7
"17","U021","7/26/19","upper","10:23","cloudy",18.6,14.2,8.95,87.2,156,128.05,659.5,"2.1",8.37,0
"18","U022","7/26/19","upper","12:40","partly cloudy",17.4,14.3,8.94,88.2,156.8,128.05,659.6,"2.2",10.5666666666667,0
"19","U023","7/26/19","upper","15:15","partly cloudy",20.9,14.8,9.16,90.5,158.6,128.05,658.9,"2.3",11.5766666666667,6
"20","U025","7/27/19","upper","14:21","rain",14.2,12,9.5,88.1,135,117,657.5,"2.4",19.9666666666667,1
"21","U026","7/27/19","upper","16:00","rain",14.6,11,9.55,88.4,133.8,115.7,657.9,"2.3",20.5,2
"22","U027","7/27/19","upper","17:28","rain",14.7,11.9,9.64,89.1,133.5,115.7,658.2,"2.2",17.6,1
"23","U028","7/27/19","upper","18:51","cloudy",13.8,11.7,9.52,88.1,132.7,115.7,658.1,"2.1",22.3,2
"24","U029","7/28/19","upper","10:42","rain",12.8,10.7,9.52,88.1,127.4,113.75,662.7,"3.2",29.7333333333333,0
"25","U030","7/28/19","upper","12:06","rain",12.1,10.5,9.94,89.5,127.1,115.7,663.5,"3.1",29.3,0
"26","U031","7/28/19","upper","14:54","rain",11.3,10.3,9.79,87.1,123.4,111.8,664.7,"3.4",36.5,4
"27","U032","7/29/19","upper","10:50","rain",11.4,8.6,10.32,88.2,118.7,112.45,668.2,"1.4",54.1,0
"28","U033","7/29/19","upper","12:18","cloudy",11.4,8.6,10.25,88,117.7,111.15,668.8,"1.3",56.3666666666667,1
"29","U034","7/29/19","upper","13:54","cloudy",11.6,8.7,10.16,87.2,118.9,112.45,669,"1.1",62.6,0
"30","U035","7/30/19","upper","14:40","sunny",16,9.7,10.3,90.2,111.6,101.4,670.5,"3.4",122.333333333333,0
"31","L001","8/2/19","lower","12:02","sunny",22.1,15.6,8.88,89.5,149.6,118.95,688.4,"6.3",70.2,0
"32","L002","8/2/19","lower","13:40","sunny",25.6,16.2,8.92,90.6,151.9,118.95,687.4,"6.2",79.5,0
"33","L003","8/2/19","lower","14:59","sunny",31.5,16.6,9.02,91.7,152.7,117,686.6,"6.1",71.9,0
"34","L004","8/2/19","lower","16:30","sunny",26.3,17.1,8.88,92.1,157.5,120.9,685.5,"6.4",65.8666666666667,0
"35","L005","8/3/19","lower","10:14","sunny",19.9,16.1,8.67,87.9,161.1,126.1,684.3,"4.4",49.1,0
"36","L006","8/3/19","lower","13:29","sunny",24,16.5,8.77,90.4,162.4,126.1,683.7,"4.3",44.6666666666667,0
"37","L007","8/3/19","lower","14:55","sunny",25.5,16.2,8.87,91.7,164.5,126.75,683,"4.2",45.3,0
"38","L008","8/3/19","lower","17:50","sunny",23.7,17.1,8.91,92.3,167,127.4,682.5,"4.1",43.8,0
"39","L009","8/4/19","lower","10:17","partly cloudy",17.9,16.7,8.58,88.3,168.4,130,686.2,"5.4",35.0666666666667,0
"40","L010","8/4/19","lower","12:04","rain",18.8,14.5,7.58,73.5,179.3,146.25,686.6,"5.3",32.6666666666667,0
"41","L011","8/4/19","lower","13:25","cloudy",18.6,16.9,8.53,88.4,170.7,131.3,686.8,"5.2",38.2333333333333,0
"42","L013","8/5/19","lower","10:32","cloudy",16.8,16.7,8.65,89,170.5,131.3,688.1,"5.4",35.4333333333333,0
"43","L014","8/5/19","lower","12:32","cloudy",19.6,15.6,8,80.9,178.5,141.7,688.1,"5.3",31.1333333333333,2
"44","L015","8/5/19","lower","14:57","cloudy",20.3,16.9,8.72,90,173,133.25,687.7,"5.2",35.1666666666667,0
"45","L016","8/5/19","lower","16:32","partly cloudy",21,17.2,8.6,89.4,173.8,132.6,687.4,"5.1",36.3666666666667,1
"46","L017","8/6/19","lower","10:41","partly cloudy",18,15.9,8.96,90.7,166.6,131.3,689.2,"4.1",37.1666666666667,1
"47","L018","8/6/19","lower","12:18","partly cloudy",20.5,16,9.17,93.2,167.6,131.3,688.2,"4.2",36.1666666666667,0
"48","L019","8/6/19","lower","14:00","partly cloudy",22.4,16.6,9.22,94.7,171.5,131.95,687.6,"4.3",33.9666666666667,0
"49","L020","8/6/19","lower","15:33","partly cloudy",24.4,16.4,9.34,95.9,170.6,132.6,687.1,"4.4",36.5333333333333,0
"50","L021","8/6/19","lower","10:39","sunny",16.1,16.5,8.92,91.4,172.8,133.9,689.4,"6.4",34.5333333333333,1
"51","L022","8/7/19","lower","15:42","partly cloudy",20.1,17.8,8.97,94.5,178.9,135.2,687.8,"6.1",34.9,1
"52","L023","8/7/19","lower","17:07","partly cloudy",19.5,17.8,9,94.8,179.4,135.2,687.7,"6.2",32.9333333333333,0
"53","L024","8/7/19","lower","18:37","partly cloudy",19,17.6,8.88,93,178.6,135.2,688,"6.3",32.7,5
"54","L025","8/8/19","lower","10:51","sunny",16.2,16.6,8.9,91.4,176.6,136.5,686.7,"4.1",26.1666666666667,1
"55","L026","8/8/19","lower","12:16","sunny",21.7,17,9,93.2,178.4,136.5,685.5,"4.2",23.8333333333333,0
"56","L027","8/8/19","lower","14:24","partly cloudy",25,17.6,9.07,95,180.7,137.15,684.2,"4.3",24.5,1
"57","L028","8/8/19","lower","16:05","partly cloudy",23.4,17.5,9.13,95.4,181.5,137.8,683.4,"4.4",26.4,2
"58","L029","8/9/19","lower","11:04","partly cloudy",17.9,16.8,8.82,91,183.5,141.05,684.7,"5.4",25.6,0
"59","L030","8/9/19","lower","13:21","partly cloudy",18.4,17,7.9,81.7,191.1,146.9,684.4,"5.3",17.8666666666667,1
"60","L031","8/9/19","lower","15:04","sunny",19.6,17.8,8.89,93.7,189.3,143,684.1,"5.2",23.0666666666667,4
"61","L032","8/9/19","lower","16:25","sunny",24.7,18.3,9.01,95.6,191.6,143,683.7,"5.1",22.6333333333333,2
"62","L033","8/10/19","lower","10:26","sunny",18.7,17.1,8.83,91.5,190.2,145.6,685.7,"6.4",23.7,0
"63","L034","8/10/19","lower","12:07","sunny",22.6,17.6,8.88,93.2,192.8,146.25,685.7,"6.1",22.7,0
"64","L035","8/10/19","lower","14:07","sunny",24.7,18.2,8.93,94.8,195.8,146.25,684.9,"6.2",20.7666666666667,1
"65","L036","8/10/19","lower","15:37","sunny",28.8,18.7,8.9,95,198.8,146.9,684.7,"6.3",20.6666666666667,4
"66","L037","8/11/19","lower","9:37","partly cloudy",18.8,17.3,8.69,90.8,193.9,147.55,683,"5.4",19.2,2
"67","L038","8/11/19","lower","11:09","cloudy",20.9,16.7,7.93,89,199.4,154.05,682.9,"5.3",12.6,3
"68","L039","8/11/19","lower","13:05","cloudy",20.4,17.9,8.77,92.4,197,148.2,682.9,"5.2",20.5,4
"69","L040","8/11/19","lower","14:50","cloudy",25.5,18.4,8.93,94.6,199.2,148.2,683.4,"5.1",22.2333333333333,1
"70","L041","8/12/19","lower","15:10","sunny",18.6,17.6,9.13,95.7,189.8,143.65,687.6,"6.4",19.2666666666667,0
"71","L042","8/12/19","lower","16:33","sunny",21.2,17.8,9.12,95.9,190.4,143.65,687.5,"6.1",20.5,0
"72","L043","8/12/19","lower","17:58","sunny",20.1,17.7,9.01,94.5,189.7,143.65,687.6,"6.2",20.5,3
"73","L044","8/13/19","lower","10:32","partly cloudy",12.4,15.4,9.12,91.3,181.1,144.3,686.3,"4.1",16.8333333333333,2
"74","L045","8/13/19","lower","11:52","sunny",14.5,15.7,9.03,90.8,182.9,144.3,684.8,"4.2",15.3666666666667,0
"75","L046","8/13/19","lower","13:51","sunny",20,16.3,9.37,95.6,185.6,144.95,683.7,"4.3",15.3333333333333,3
"76","L047","8/13/19","lower","15:30","sunny",20.8,16.4,9.26,94.4,186.6,144.95,683.3,"4.4",15.1333333333333,2
"77","L048","8/14/19","lower","10:57","partly cloudy",15.7,15.2,9.3,92.8,185.9,148.85,685.1,"4.1",14.5,0
"78","L049","8/14/19","lower","12:15","partly cloudy",16.8,15.9,9.76,98.4,188.5,148.2,683.9,"4.2",12.8,4
"79","L050","8/14/19","lower","14:15","partly cloudy",20.8,16.1,9.45,95.6,190.8,149.5,682.7,"4.3",13.2666666666667,1
"80","L051","8/14/19","lower","15:50","partly cloudy",18.4,16.2,9.48,96.4,192.1,150.15,681.9,"4.4",13,4
